State/UT,Year,Total Population,Rural Population,Urban Population,Total Lit,Lit_rate,Area in km2,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total crime against sc,Total crime against women,Total crimes against ST,Total crime against children,Total crimes,Total crime rate
HARYANA,2003,21986267,15616306,6369961,12994739,69.82,44212,702,446,76,353,0,353,388,271,117,63,190,281,2981,5591,3079,2512,639,586,900,30,122,4153,222,344,1302,1618,0,971,16654,38612,341,6284,0,287,90468,411.4750358
HIMACHAL PRADESH,2003,6233622,5621231,612391,4241244,76.28,55673,125,74,5,126,0,126,113,96,17,8,0,19,707,627,218,409,610,63,130,3,121,1385,6,250,18,221,0,463,6937,12011,71,4069,12,109,29149,467.609361
JAMMU & KASHMIR,2003,10624745,7985745,2639000,5259275,60.04,222236,929,1216,29,211,0,211,712,615,97,23,0,154,1526,1949,576,1373,1167,116,408,21,328,310,10,875,376,71,0,378,10424,21233,0,788,1,49,46176,434.6080777
JHARKHAND,2003,28149911,21864426,6285484,13087375,56.05,79714,1482,957,109,712,0,712,487,262,225,702,37,864,1468,4155,564,3591,2481,265,479,5,147,3062,262,424,2,559,0,642,12902,32203,76,2141,108,35,72120,256.1997443
KARNATAKA,2003,54506590,36009255,18497336,32477434,66.12,191791,1506,1241,58,321,0,321,531,244,287,220,65,861,6055,14180,4296,9884,5784,495,2752,126,415,21913,194,1585,84,1704,0,172,52143,112405,1844,2216,167,116,244185,447.9917016
KERALA,2003,32150635,23790911,8359723,26015715,91.58,38863,435,448,343,394,0,394,189,102,87,142,19,634,4409,4891,1668,3223,6798,323,3061,129,413,17696,33,1947,68,2930,0,35,53487,98824,439,4455,65,179,208260,647.7632557
LAKSHADWEEP,2003,61406,34097,27309,46257,88.13,32,0,0,0,2,0,2,0,0,0,0,0,0,6,8,1,7,4,0,0,0,2,1,0,1,0,1,0,0,6,31,0,6425,0,1,6498,10582.02781
MADHYA PRADESH,2003,19349931,46219098,16578833,33844284,68.53,308245,2227,2413,203,2738,0,2738,887,608,279,153,141,1578,12884,20422,5262,15160,2729,549,1222,38,868,29358,648,6848,705,2938,0,3778,97751,191078,5507,0,1779,2662,416151,2150.658832
MAHARASHTRA,2003,23249623,57568564,42408932,67483612,77.91,307713,2772,1412,113,1268,0,1268,926,626,300,514,249,2096,13892,37098,9271,27827,5714,1561,5005,261,1188,29205,368,2661,682,5452,0,9378,42491,164306,697,14474,217,2001,385293,1657.201065
MANIPUR,2003,2277782,1649238,630524,1430122,71.85,22327,150,199,6,18,0,18,120,71,49,3,0,6,68,252,124,128,73,16,76,7,47,324,0,44,0,4,0,4,1120,2537,0,13117,4,36,18621,817.5058017
MEGHALAYA,2003,2447859,1969165,478694,1283301,64.7,22429,175,60,17,40,0,40,49,10,39,83,1,133,160,360,108,252,5,12,34,4,16,106,0,13,1,4,0,41,355,1669,0,139,0,46,3972,162.2642481
MIZORAM,2003,929061,468243,460818,698791,89.3,21081,46,36,3,54,0,54,8,2,6,5,0,21,487,1303,57,1246,3,19,60,12,23,142,0,88,0,3,0,11,1132,3456,0,130,0,17,8424,906.7219483
NAGALAND,2003,1988149,1643968,344181,1174345,67.78,1483,91,34,8,14,0,14,38,3,35,19,0,92,95,221,37,184,8,3,11,7,5,48,0,4,2,0,1,41,234,976,27,24,263,0,2539,127.7067262
ODISHA,2003,37833200,32150170,5683030,21218163,65.04,155707,1044,1214,188,725,0,725,477,373,104,178,30,875,2961,5359,1076,4283,1408,254,937,11,337,4759,279,1669,188,1289,0,2497,20602,47281,17,26,484,140,101790,269.0494063
PUDUCHERRY,2003,1028369,343418,684951,748555,82.12,479,29,32,0,2,0,2,18,13,5,2,0,11,126,567,295,272,159,12,32,1,18,1053,1,56,27,4,0,182,2185,4517,27,4685,0,5,14338,1394.246618
PUNJAB,2003,25028046,16540347,8487700,15547003,70.83,50362,731,644,89,380,0,380,464,295,169,30,117,108,2094,3198,1375,1823,0,343,3123,56,71,4124,110,346,199,987,0,2226,9316,28756,0,100,0,184,61838,247.0748216
RAJASTHAN,2003,58929953,45136804,13793149,29816664,61.53,342239,1262,1977,61,1050,0,1050,2238,1750,488,36,41,655,6072,16456,5491,10965,4052,902,7225,58,784,26173,389,2715,33,5733,1,5074,62592,145579,0,1914,912,240,313968,532.7816908
SIKKIM,2003,554218,493167,61051,276298,69.47,7096,14,7,3,10,0,10,0,0,0,2,0,3,48,65,3,62,10,7,12,3,2,56,0,25,0,1,0,18,157,443,0,12946,6,15,13928,2513.090517
TAMIL NADU,2003,64352335,35985877,28366457,42787137,74.77,130058,1591,1843,28,557,1,556,879,632,247,95,43,514,4849,18213,4581,13632,3706,307,1904,63,791,30228,220,2022,881,1555,1,9112,77784,157186,5,48,67,177,334318,519.5118406
TRIPURA,2003,3293569,2732608,561360,2178636,74.5,10486,254,87,0,114,0,114,146,29,117,36,0,69,167,276,10,266,274,3,25,3,83,534,20,127,0,247,0,109,940,3514,0,5914,0,0,13478,409.2217288
UTTAR PRADESH,2003,172874632,136904449,35970183,83454938,58.31,240928,5284,3793,1525,911,0,911,2208,1499,709,317,196,1988,4016,15751,5605,10146,2251,1746,2911,226,297,7760,1322,1098,4970,2626,0,4428,29449,95073,0,670,47,1702,211435,122.3053941
UTTARAKHAND,2003,8814830,6556756,2258073,5460816,72.91,53483,268,236,31,107,0,107,171,134,37,26,3,160,557,1368,400,968,392,138,379,8,33,687,93,136,98,317,0,362,2353,7923,0,14964,5,23,32484,368.5153315
WEST BENGAL,2003,82410505,59364825,23045680,50064777,70.15,88752,1425,400,484,1002,0,1002,902,801,101,217,883,598,342,12613,2581,10032,2596,378,1534,153,87,4172,329,1186,71,4948,1,2300,24553,61174,0,982,3,148,137998,167.4519529
A& N ISLANDS,2004,363481,244803,118678,265479,82.5,8249,15,1,2,10,0,10,3,3,0,0,0,3,69,103,9,94,9,0,12,0,9,105,0,6,3,5,0,6,387,748,0,11794,1,14,13421,3692.352558
ANDHRA PRADESH,2004,78721238,57322506,21398732,43121054,62.2,275045,2579,1908,163,1016,0,1016,1526,1030,496,199,2,596,8457,23578,5042,18536,2540,898,7928,175,915,43335,512,3817,2310,8388,2,11452,36460,158756,0,36,566,1328,345562,438.9692144
ARUNACHAL PRADESH,2004,1183361,933593,249768,569151,57.3,83743,67,45,1,42,0,42,65,41,24,30,2,45,215,388,75,313,65,26,34,1,19,429,0,61,0,4,0,0,717,2256,0,19006,75,22,24110,2037.417153
ASSAM,2004,28009651,24414425,3595226,15564141,65.6,78438,1214,410,63,1171,0,1171,1906,1552,354,360,31,505,2544,5866,685,5181,3615,586,865,57,379,5911,74,883,11,1945,0,2239,10040,40675,20,168,12,21,90514,323.1529018
BIHAR,2004,89240347,79893543,9346804,37528070,50.9,94163,3948,2995,280,1390,1,1389,3413,997,2416,1319,145,2986,3175,11113,2083,9030,9793,1701,2764,57,707,11231,1029,704,13,2679,35,2405,44178,108060,2646,6741,59,59,241541,270.6634478
CHANDIGARH,2004,946850,96873,849978,691903,83.1,114,22,19,10,19,0,19,54,43,11,0,2,6,186,1459,653,806,43,23,135,4,0,65,6,20,18,73,0,5,720,2889,0,5818,0,66,13194,1393.462534
CHHATTISGARH,2004,22245721,17801756,4443965,12435181,66.25,135191,927,619,25,969,0,969,214,174,40,106,8,363,3720,5014,1316,3698,790,101,424,42,242,3899,71,1661,131,741,0,1717,20143,41927,698,221,676,940,92586,416.1968947
D & N HAVELI,2004,257199,198232,58967,139702,62.77,491,11,4,0,7,0,7,12,7,5,3,0,2,20,53,20,33,17,12,22,0,2,35,0,5,0,3,0,8,193,409,0,3735,4,11,4640,1804.05056
DAMAN & DIU,2004,183616,115176,68440,131842,80.76,112,11,4,0,7,0,7,12,7,5,3,0,2,20,53,20,33,17,12,22,0,2,35,0,5,0,3,0,8,193,409,0,32,1,2,925,503.7687348
DELHI,2004,14721325,1003420,13717905,10586665,83.01,16579,481,519,80,551,0,551,1209,881,328,30,135,461,1875,18994,8873,10121,67,445,2322,44,38,1780,126,601,130,1254,0,433,22048,53623,4,8,0,766,128778,874.7718021
GOA,2004,1380685,693937,686747,1039540,83.24,3702,40,6,5,37,0,37,13,10,3,5,0,18,261,503,120,383,33,49,61,0,7,170,2,23,15,17,0,216,646,2127,0,4416,0,53,9276,671.840427
GUJARAT,2004,53584800,33600479,19984321,33207432,74.44,196024,1113,469,27,339,0,339,1133,905,228,360,15,1136,5828,18551,6931,11620,1599,1612,1726,122,388,12262,58,757,164,3955,0,3958,49897,105469,1309,70,241,799,233380,435.5339574
HARYANA,2004,22407119,15909830,6497290,13445270,70.79,44212,733,441,65,386,0,386,423,292,131,52,145,244,2786,6558,3735,2823,699,534,1089,32,95,4194,251,403,850,2026,0,981,16109,39096,303,7200,0,164,93226,416.0552724
HIMACHAL PRADESH,2004,6311483,5690686,620796,4341056,76.18,55673,110,77,12,153,0,153,123,99,24,1,0,25,766,643,192,451,562,97,174,6,112,1421,8,284,16,252,0,469,7015,12326,88,4525,11,92,30287,479.871371
JAMMU & KASHMIR,2004,10865268,8165086,2700182,5485270,62.44,222236,816,1112,29,218,0,218,735,632,103,28,0,129,1420,1939,573,1366,1116,105,414,32,320,334,9,990,264,82,0,422,10677,21191,1,790,1,35,46101,424.2969433
JHARKHAND,2004,28751952,22320596,6431356,13742461,57.33,79714,1488,1143,115,797,0,797,468,178,290,580,55,780,1419,4374,560,3814,2281,333,441,6,167,2294,275,411,3,588,36,416,12969,31439,126,2425,123,112,71303,247.9935971
KARNATAKA,2004,55334605,36569366,18765239,33498670,66.15,191791,1519,1387,57,291,1,290,592,286,306,177,109,1024,6093,16093,5185,10908,6237,423,2759,65,248,21232,259,1435,57,1588,0,277,52518,114440,1643,2621,173,189,250482,452.6679101
KERALA,2004,32305265,23899143,8406122,26280729,91.58,38863,417,391,473,480,0,480,232,142,90,129,15,639,4580,5240,1717,3523,6461,336,3755,99,374,20610,31,2260,133,3222,0,42,54106,104025,438,4822,82,341,219685,680.0284721
LAKSHADWEEP,2004,61784,34304,27479,47044,88.87,32,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,37,0,0,1,0,6,0,0,0,1,0,0,18,70,0,7301,0,0,7446,12051.66386
MADHYA PRADESH,2004,26005886,47138209,16884677,34970145,71.06,308245,2379,2563,188,2875,0,2875,832,584,248,147,134,1526,12308,22586,6148,16438,2479,548,1287,36,893,33285,751,6690,804,3436,0,4209,96911,196867,4699,1,1667,3653,430047,1653.652562
MAHARASHTRA,2004,34390042,58464022,43062908,69242447,78.45,307713,2696,1463,115,1388,0,1388,1045,787,258,629,315,2229,14659,43952,11307,32645,5980,1528,5167,218,1149,30122,314,2831,862,5646,0,9574,44420,176302,715,14275,231,2281,416491,1211.080231
MANIPUR,2004,2333278,1678447,657802,1489917,72.54,22327,159,227,3,31,0,31,128,71,57,2,2,3,66,244,108,136,115,25,142,4,85,233,0,30,0,2,0,35,999,2535,0,14010,0,31,19514,836.3341188
MEGHALAYA,2004,2512378,2021393,490985,1346014,65.79,22429,124,42,7,54,0,54,54,18,36,91,2,81,142,418,138,280,2,25,44,2,15,123,2,34,0,5,0,51,434,1752,0,171,0,0,4201,167.2120995
MIZORAM,2004,949305,478581,470724,717464,89.55,21081,35,21,2,20,0,20,15,0,15,10,0,6,250,610,0,610,2,30,20,6,22,80,0,66,0,0,0,0,320,1515,0,175,0,0,3850,405.5598569
NAGALAND,2004,1987206,1642328,344878,1195356,69,1483,70,33,5,18,0,18,23,4,19,14,0,117,70,255,26,229,6,11,28,0,5,52,0,3,1,0,0,34,239,984,0,26,0,1,2291,115.2874941
ODISHA,2004,38347469,32581544,5765925,21908717,66.04,155707,1066,1197,25,770,0,770,526,423,103,238,0,952,2992,5967,1401,4566,1433,271,805,14,343,4938,319,1811,170,1192,0,2652,21058,48739,1398,33,602,129,106903,278.7745914
PUDUCHERRY,2004,1055381,352263,703117,774650,82.57,479,25,18,14,4,0,4,10,8,2,0,0,1,86,634,322,312,147,7,35,2,9,974,6,50,30,2,0,176,2390,4620,23,5773,0,12,15696,1487.235415
PUNJAB,2004,25362570,16762276,8600294,15942020,71.43,50362,775,716,148,390,0,390,463,311,152,17,79,86,1766,2587,1132,1455,16,313,2729,60,52,4402,113,261,38,801,0,2181,7637,25630,134,105,0,193,55132,217.3754474
RAJASTHAN,2004,60141335,46058800,14082535,30873992,62.1,342239,1279,2030,59,1038,0,1038,2384,1881,503,58,46,673,5911,18842,6648,12194,3101,885,8333,65,835,25947,379,2825,41,6781,1,5579,67767,154859,596161,1906,863,403,931315,1548.543942
SIKKIM,2004,560902,499260,61642,297380,70.84,7096,16,8,3,3,0,3,5,4,1,0,0,5,64,73,6,67,76,4,22,1,7,78,0,40,0,1,0,29,196,631,16,11431,22,8,12820,2285.604259
TAMIL NADU,2004,65325663,36517976,28807687,43918434,75.44,130058,1479,1772,26,618,0,618,870,692,178,72,54,464,4147,17530,3996,13534,3433,268,2121,40,662,30855,225,1861,1081,1437,0,9152,88439,166606,1156,62,13,393,353854,541.6768598
TRIPURA,2004,3340752,2772186,569166,2256904,75.17,10486,189,36,0,160,0,160,99,54,45,27,2,46,166,260,49,211,148,17,34,12,24,452,20,134,0,302,0,85,868,3081,1,5648,12,59,12401,371.2038487
UTTAR PRADESH,2004,176212988,139527504,36685484,87322765,59.35,240928,6126,5580,1436,1397,0,1397,3337,2324,1013,378,98,2606,5299,22524,8452,14072,3915,2377,4184,188,381,11265,1708,1900,2682,4950,3,7136,40711,130181,3785,840,6,1921,294172,166.9411565
UTTARAKHAND,2004,8977570,6679997,2297573,5638333,73.56,53483,262,247,29,115,0,115,213,127,86,37,1,165,566,1597,500,1097,444,157,372,13,28,865,82,143,110,405,0,464,2319,8634,137,14258,1,57,33646,374.7784757
WEST BENGAL,2004,83527659,60172764,23354895,51498965,70.92,88752,1425,390,468,1475,0,1475,1200,1018,182,212,943,535,547,14465,2668,11797,2691,425,1686,125,103,3867,396,1566,64,6334,12,2995,27426,69350,14,782,12,206,156854,187.7868982
A& N ISLANDS,2005,365924,246419,119504,269593,82.9,8249,14,3,3,4,0,4,2,1,1,0,0,4,68,92,6,86,4,8,13,0,6,79,0,11,1,5,0,3,362,682,0,12690,17,8,14177,3874.301768
ANDHRA PRADESH,2005,79558315,57962985,21595330,44183298,62.8,275045,2750,1724,111,935,1,934,1612,995,617,250,4,794,7954,23778,5465,18313,2026,948,7909,257,967,42179,443,3595,2508,8696,3,9973,37707,157123,3117,54,793,950,345485,434.2537923
ARUNACHAL PRADESH,2005,1211825,954761,257064,597273,58.3,83743,81,37,5,35,0,35,58,39,19,23,0,77,263,531,119,412,23,36,28,4,13,383,0,67,0,9,0,69,562,2304,2,22304,27,22,27587,2276.483816
ASSAM,2005,28461026,24813804,3647222,16080403,66.4,78438,1194,503,117,1238,0,1238,1751,1456,295,334,22,451,2255,6369,955,5414,2760,487,873,103,423,5906,99,899,19,2206,3,2695,11299,42006,282,185,244,199,94280,331.2600185
BIHAR,2005,91320960,81752488,9568472,39667567,52.3,94163,3471,3307,259,1147,0,1147,2693,929,1764,1212,165,2374,3117,10812,2134,8678,7671,1181,1829,50,760,11939,1014,451,13,1574,74,2680,40057,97850,1824,6807,115,115,219213,240.0467538
CHANDIGARH,2005,962255,98457,863799,708122,83.5,114,18,15,4,33,0,33,54,45,9,0,2,12,223,1373,579,794,43,41,161,0,1,57,3,31,9,75,0,9,969,3133,0,6543,0,57,14326,1488.79455
CHHATTISGARH,2005,22716360,18186322,4530038,12855858,65.78,135191,1013,660,41,990,0,990,246,184,62,204,25,401,3621,5600,1619,3981,893,110,431,73,214,3734,100,1450,132,732,0,2004,20959,43633,454,224,583,997,96360,424.187678
D & N HAVELI,2005,269435,207633,61802,151634,64.59,491,7,5,0,5,0,5,13,9,4,3,0,2,25,74,17,57,18,12,10,4,1,33,0,5,0,5,0,17,195,434,2,3747,1,5,4715,1749.958246
DAMAN & DIU,2005,192087,119949,72138,139922,81.64,112,7,5,0,5,0,5,13,9,4,3,0,2,25,74,17,57,18,12,10,4,1,33,0,5,0,5,0,17,195,434,2,16,0,5,983,511.7472812
DELHI,2005,15011598,1022985,13988614,10893965,83.47,16579,455,467,64,658,0,658,1590,1106,484,27,157,510,2093,17955,8862,9093,61,394,2378,36,47,1814,114,762,225,1324,1,634,24299,56065,21,6,0,1026,133386,888.5529708
GOA,2005,1391690,699553,692137,1057532,83.65,3702,45,15,5,20,0,20,17,12,5,2,0,28,265,495,185,310,45,50,58,6,12,155,2,30,8,11,0,209,641,2119,2,4725,0,53,9550,686.2160395
GUJARAT,2005,54556061,34220383,20335678,34333993,76.3,196024,1033,452,27,324,0,324,1164,916,248,282,15,966,5332,17964,7083,10881,1628,1370,1541,447,320,10503,48,802,104,4090,0,4120,60882,113414,1307,70,164,836,248657,455.782539
HARYANA,2005,22827971,16203353,6624618,13895801,71.78,44212,784,513,57,461,0,461,492,344,148,88,138,390,3437,8694,5034,3660,899,562,1204,31,119,4569,212,380,597,2075,0,1083,15879,42664,380,8216,0,374,103945,455.3405119
HIMACHAL PRADESH,2005,6389344,5760142,629201,4440867,76.08,55673,110,79,22,141,0,141,118,102,16,6,0,22,696,696,166,530,558,82,163,6,97,1359,2,286,29,228,0,480,7165,12345,101,4549,17,131,30443,476.4651895
JAMMU & KASHMIR,2005,11105790,8344428,2761363,5711265,64.93,222236,647,905,37,201,0,201,748,658,90,13,0,116,1397,1901,504,1397,1222,117,403,29,240,355,5,830,371,76,0,462,10040,20115,1,1014,0,57,44152,397.5583907
JHARKHAND,2005,29353993,22776765,6577228,14397548,58.64,79714,1523,1084,87,753,5,748,621,283,338,592,49,732,1610,6195,1181,5014,2524,243,643,19,202,3078,257,293,36,590,4,1490,12550,35175,277,2519,332,97,81144,276.4325794
KARNATAKA,2005,56162619,37129477,19033142,34519906,66.18,191791,1609,1406,80,343,0,343,589,312,277,208,119,1202,5986,17008,5920,11088,6151,434,2909,133,238,20883,261,1585,71,1883,0,243,54239,117580,1780,2850,214,191,258135,459.6206598
KERALA,2005,32459895,24007374,8452521,26545742,92.3,38863,388,341,88,478,0,478,226,129,97,110,158,621,4110,5454,1969,3485,6535,361,3261,79,456,18302,21,2339,175,3283,0,34,57530,104350,345,5440,75,386,221104,681.1605521
LAKSHADWEEP,2005,62162,34511,27650,47831,89.62,32,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,7,6,0,0,0,0,4,0,0,0,0,0,0,22,42,0,7601,0,0,7692,12374.11924
MADHYA PRADESH,2005,32661840,48057319,17190521,36096005,73.68,308245,2405,2512,134,2921,0,2921,847,604,243,147,130,1557,11192,20685,6390,14295,2573,613,1292,51,817,33803,739,6426,792,2989,3,4593,91951,189172,4356,5,1498,3721,412377,1262.565122
MAHARASHTRA,2005,45530460,59359481,43716884,71001282,78.99,307713,2621,1614,98,1545,0,1545,1194,851,343,641,307,2411,15615,46851,12189,34662,6779,1720,6391,385,1123,30017,341,3228,919,6233,0,9608,47386,187027,865,15299,267,2305,442380,971.6132892
MANIPUR,2005,2388775,1707656,685080,1549711,73.23,22327,256,252,4,25,0,25,106,69,37,4,0,8,62,243,92,151,35,52,122,10,155,295,0,25,0,20,0,5,1234,2913,0,14555,26,20,20801,870.7810489
MEGHALAYA,2005,2576896,2073620,503276,1408727,66.9,22429,134,35,2,63,0,63,48,19,29,81,1,95,148,476,116,360,42,18,39,3,70,135,1,44,0,3,0,61,381,1880,0,188,0,81,4616,179.1302404
MIZORAM,2005,969549,488919,480630,736137,89.8,21081,24,24,5,37,0,37,13,0,13,3,0,6,442,777,0,777,35,11,58,5,20,77,4,49,4,0,0,4,558,2156,0,171,0,74,5384,555.3097368
NAGALAND,2005,1986262,1640687,345575,1216367,70.24,1483,87,26,8,17,0,17,26,9,17,12,0,80,93,294,97,197,8,17,41,5,4,35,0,7,0,0,0,37,252,1049,0,33,0,0,2468,124.2534973
ODISHA,2005,38861739,33012918,5848821,22599271,67.06,155707,1079,1279,48,799,0,799,641,547,94,184,50,998,3029,6743,1626,5117,1515,301,1040,31,386,5919,334,2238,184,1671,0,3034,20182,51685,1439,34,349,86,113461,291.9606866
PUDUCHERRY,2005,1082393,361109,721283,800744,83.02,479,19,24,8,6,0,6,6,3,3,1,0,5,67,466,235,231,159,8,41,0,9,857,4,60,26,6,0,224,2579,4575,14,5387,0,8,15037,1389.236627
PUNJAB,2005,25697094,16984206,8712888,16337037,72.03,50362,713,723,216,398,0,398,478,329,149,27,103,85,1933,2924,1151,1773,1,306,2934,73,55,4267,99,308,43,729,0,2283,8438,27136,140,139,0,210,58561,227.8895816
RAJASTHAN,2005,61352718,46980795,14371922,31931319,62.67,342239,1221,1920,59,993,0,993,1993,1549,444,41,79,590,5227,17898,6723,11175,2290,613,8341,88,648,22606,361,2503,28,5997,0,5872,61549,140917,542551,2167,967,580,848983,1383.774065
SIKKIM,2005,567586,505353,62232,318462,72.24,7096,8,16,2,18,0,18,3,2,1,2,0,4,85,81,5,76,19,4,44,2,3,99,0,38,0,4,0,53,67,552,7,12686,0,25,13924,2453.19652
TAMIL NADU,2005,66298991,37050074,29248917,45049730,76.11,130058,1440,1759,28,571,1,570,1029,783,246,73,0,437,3738,15851,3583,12268,2551,239,2694,40,495,31725,215,1764,665,1650,0,8902,86494,162360,1206,47,24,288,343736,518.4633956
TRIPURA,2005,3387935,2811764,576971,2335173,75.84,10486,121,56,1,162,0,162,85,43,42,22,0,61,170,325,62,263,148,32,59,16,35,429,34,161,1,439,0,188,811,3356,38,4641,9,28,12000,354.1980587
UTTAR PRADESH,2005,179551343,142150559,37400784,91190592,60.42,240928,5711,5637,1520,1217,0,1217,2955,2256,699,286,89,2049,4556,20695,8647,12048,3926,2524,4556,261,398,10379,1564,1835,2881,4505,0,7406,37158,122108,4397,964,11,1801,276256,153.8590552
UTTARAKHAND,2005,9140310,6803237,2337073,5815850,74.22,53483,279,202,30,133,0,133,203,125,78,48,0,159,521,1630,533,1097,433,144,396,22,24,745,63,100,89,272,0,462,2078,8033,99,15677,1,76,33885,370.7204679
WEST BENGAL,2005,84644813,60980703,23664109,52933153,71.7,88752,1453,434,408,1686,0,1686,1207,1039,168,211,1221,426,739,12124,2435,9689,2635,528,1760,107,92,4125,446,1572,54,6936,61,2737,25444,66406,12,1034,7,236,149118,176.1690938
A& N ISLANDS,2006,368367,248036,120331,273708,83.3,8249,4,4,1,6,0,6,5,5,0,0,0,5,82,101,6,95,10,3,15,4,9,78,0,14,4,7,0,2,322,676,0,16432,1,9,17906,4860.913165
ANDHRA PRADESH,2006,80395392,58603465,21791927,45245542,63.4,275045,2766,1860,123,1049,1,1048,2030,1329,701,178,3,679,8304,23510,5313,18197,2916,1007,8363,324,1012,47946,519,4534,2411,9164,0,11489,43722,173909,3891,80,753,1386,380517,473.3069776
ARUNACHAL PRADESH,2006,1240290,975930,264360,625395,59.3,83743,60,33,3,37,0,37,75,51,24,28,0,74,257,451,74,377,6,61,38,9,20,415,1,63,2,14,0,82,565,2294,0,21796,32,27,27006,2177.393997
ASSAM,2006,28912400,25213183,3699217,16596666,67.2,78438,1207,414,32,1244,0,1244,1825,1544,281,319,12,544,2911,7820,1362,6458,2684,461,905,98,488,5290,105,1290,10,2548,0,3022,10444,43673,282,175,49,252,98993,342.3894246
BIHAR,2006,93401573,83611433,9790141,41807065,53.7,94163,3249,3303,326,1232,0,1232,2619,1084,1535,1001,140,2169,3531,11752,2023,9729,8259,1054,2171,97,785,12674,1188,530,53,1689,42,2860,39941,100665,2043,8082,66,66,227190,243.2400148
CHANDIGARH,2006,977661,100041,877620,724342,83.9,114,12,21,8,19,0,19,65,57,8,1,3,34,189,1234,529,705,44,59,232,3,5,55,10,20,13,102,0,14,983,3126,2,7335,0,64,14971,1531.307887
CHHATTISGARH,2006,23187000,18570889,4616111,13276536,66.31,135191,1098,825,15,995,0,995,239,178,61,160,24,439,3507,5262,1623,3639,905,137,507,33,262,6722,103,1598,143,717,1,2239,19246,45177,444,135,615,1238,99282,428.1795834
D & N HAVELI,2006,281672,217035,64637,163567,66.46,491,9,0,1,6,0,6,18,14,4,5,0,5,41,61,13,48,8,30,10,1,5,35,1,5,1,5,0,16,172,435,2,3943,3,15,4918,1746.002443
DAMAN & DIU,2006,200558,124723,75835,148003,82.53,112,9,0,1,6,0,6,18,14,4,5,0,5,41,61,13,48,8,30,10,1,5,35,1,5,1,5,0,16,172,435,1,25,3,3,987,492.1269658
DELHI,2006,15301871,1042549,14259322,11201266,83.92,16579,476,510,75,623,0,623,1442,1066,376,14,200,541,1950,17498,9366,8132,87,442,2313,42,33,1818,137,718,144,1728,0,367,26805,57963,21,9,0,2160,137679,899.7527165
GOA,2006,1402696,705168,697528,1075525,84.06,3702,39,17,1,21,0,21,16,10,6,7,0,17,252,494,223,271,63,35,55,9,38,170,0,18,7,14,0,233,698,2204,4,3859,0,54,8856,631.355618
GUJARAT,2006,55527323,34840287,20687036,35460554,78.2,196024,1165,471,24,354,0,354,1128,945,183,290,12,970,5530,18475,7188,11287,1534,1246,1529,196,321,10685,50,736,138,4977,0,4339,66802,120972,995,116,156,977,264145,475.7027455
HARYANA,2006,23248823,16496876,6751947,14346333,72.78,44212,873,585,59,608,0,608,635,431,204,104,224,410,4001,10518,6300,4218,1142,750,1424,35,156,5135,255,486,491,2254,0,1350,19014,50509,408,8564,0,462,122213,525.6739234
HIMACHAL PRADESH,2006,6467205,5829598,637607,4540679,75.98,55673,111,78,20,113,0,113,130,109,21,7,0,29,754,812,214,598,566,137,129,4,115,1261,3,275,31,259,0,499,7760,13093,94,5052,2,136,32525,502.9220506
JAMMU & KASHMIR,2006,11346313,8523769,2822544,5937260,67.52,222236,487,854,40,250,0,250,789,723,66,10,0,112,1351,1937,554,1383,1197,123,463,35,203,376,10,960,347,135,0,222,10886,20787,1,976,0,85,45612,401.9984289
JHARKHAND,2006,29956034,23232934,6723100,15052635,59.98,79714,1492,1078,97,799,0,799,635,410,225,536,45,779,1428,6173,1146,5027,2650,319,833,34,178,3055,281,414,44,668,5,1154,13667,36364,333,2289,268,112,83337,278.197708
KARNATAKA,2006,56990633,37689588,19301046,35541142,66.21,191791,1627,1484,68,400,0,400,563,328,235,202,247,1349,5967,14901,5759,9142,6183,471,2910,139,268,19488,244,1683,38,2129,0,534,56815,117710,1730,2740,205,276,256235,449.6089735
KERALA,2006,32614526,24115605,8498921,26810756,92.67,38863,393,347,87,601,0,601,294,202,92,129,125,691,4245,5431,2014,3417,6365,299,3316,68,435,19105,25,2543,222,3708,0,49,56777,105255,364,5747,88,553,223588,685.5472926
LAKSHADWEEP,2006,62540,34719,27821,48618,90.38,32,0,2,0,0,0,0,0,0,0,0,0,0,2,17,1,16,12,0,0,0,4,5,0,0,0,1,0,0,37,80,0,7906,1,0,8084,12926.12728
